id_str,full_text,Netral
1.75E+18,MK menggelar sidang lanjutan Perkara Nomor 130/PUU-XXI/2023 tentang pengujian formil UU Kesehatan pada Senin (29/01/2024). Permohonan diajukan oleh Sekretariat Bersama (Sekber) Organisasi Profesi Kesehatan. Agenda sidang hari ini yakni mendengar keterangan dua orang saksi (1/3) https://t.co/a9jDzE4163,Positif
1.75E+18,Beberapa contoh kebijakan pengendalian konsumsi rokok yang memiliki potensi intervensi oleh industri rokok adalah batalnya Indonesia meratifikasi Framework Convention on Tobacco Control di tahun 2003. Serta kasus pasal mengenai zat adiktif yang hilang di UU Kesehatan 2009,Netral
1.75E+18,@nabastalaina Thank uu!! Kakak juga jaga kesehatan yah~,Netral
1.75E+18,"@junoaggy izin nambahin ya. surogasi sudah dilarang pelaksanaannya per 2023 melalui uu kesehatan terbaru. metode fertilisasi buatan yang dilarang adalah metode selain bayi tabung. tapi regulasi khususnya memang belum ada, jadi masih ada banyak celahnya juga😞",Positif
1.75E+18,"@emptyTia thank uu, ini udah agak mendingan sie,,, kamu jaga kesehatan juga yh😔✊",Positif
1.75E+18,"@DrEvaChaniago kl saya pribadi dok, jika seandainya yg masuk putaran 02 dan 03, smbik menunggu hasil ulama aja..menurut saya politik itu dinamis, yg saya tekankan utk keluarga,skrng cari caleg dri partai yg msh konsisten memperjuangkan nasib rakyat.ntah uu kesehatan, omnibus law, ikn dll",Positif
1.75E+18,Keinginan Pemohon agar instansi tempat melamar pekerjaan untuk mengungkap daftar nama yang dikombinasikan dengan kualifikasi minimal terkait kesehatan sebagaimana dalam posita Pemohon akan mengarah pada pelanggaran terhadap ketentuan UU Perlindungan Data Pribadi (UU PDP). (1/3) https://t.co/TrVkywMPYA,Netral
1.75E+18,"setuju @mohmahfudmd emang betul, karna dampaknya banyak banget kami menolak pasal tembakau di RPP UU Kesehatan #TolakPasalTembakauRPPKesehatan @Jokowi @Kemenkes_RI https://t.co/BF1GaB3ZdE",Positif
1.75E+18,"@CutSarina5 Partai PKS pargai yg lurus yg selalu tetap konsisten, membawa keadilan , sll oposisi dgn kebijkn2 yg ga pro rakyat,Uu ciptaker dia tolak, uu kesehatan dia tolak, byk skli krn yg oposisi  cuma dia doang mau g mau selalu kalah",Positif
1.75E+18,"5 dari 6 Alasan saya tidak lagi mendukung Pak Prabowo di Pilpres 2024, baik untuk Putaran Pertama maupun Putaran kedua  Alasan ke 6 saya tidak akan mendukung Paslon yg akan melanjutkan UU Kesehatan Omnibuslaw yg berpotensi membahayakan keselamatan pasien dan kedaulatan negara  14… https://t.co/bHK0jhvMFD",Negatif
1.75E+18,Penelitian ini berfokus pada reformasi jaminan kesehatan sosial yang mencakup pembentukan Sistem Jaminan Sosial Nasional (UU Jaminan Sosial Nasional) hingga penerapan Jaminan Kesehatan Nasional (JKN). https://t.co/8eIhssomPE,Positif
1.75E+18,"sudah jelas loh banyak yg menolak pasal tembakau di RPP UU Kesehatan #TolakPasalTembakauRPPKesehatan
terus penerimaan negara juga bakal berkurang banyak loh, apapun resikonya jgn ditumpahkan ke rakyat kecil dong @Kemenperin @KemnakerRI @Jokowi @Kemenkes_RI https://t.co/PiyusXMTw1",Positif
1.75E+18,"ini loh udah sampe januari 2024 selesai,  namun persoalan menolak pasal tembakau di RPP UU Kesehatan
 belum nemu titik terang  loh, sia sia banget 52T #TolakPasalTembakauRPPKesehatan @Kemenperin @KemnakerRI @Jokowi @Kemenkes_RI https://t.co/0ZeABXZxhw",Positif
1.75E+18,"harusnya ditinjau lagi soalnya dari petani sampai pedagang dirugikan dengan adanya peraturan ini. sudah seharusnya kita menolak pasal tembakau di RPP UU Kesehatan  @Kemenperin @KemnakerRI @Jokowi @Kemenkes_RI
#TolakPasalTembakauRPPKesehatan https://t.co/Chc8BYykL3",Netral
1.75E+18,"Dampaknya gak main-main sih ini bisa merugikan negara loh, Tolak pasal tembakau di RPP UU Kesehatan  @Kemenperin @KemnakerRI @Jokowi @Kemenkes_RI
#TolakPasalTembakauRPPKesehatan https://t.co/E8h5sWyEHv",Netral
1.75E+18,"Sekarang yg udah terkena kerugian krn aturan ini para pedagang dan petani bisa aja besok negara yg rugi, sudah seharusnya kita menolak pasal tembakau di RPP UU Kesehatan  @Kemenperin @KemnakerRI @Jokowi @Kemenkes_RI
#TolakPasalTembakauRPPKesehatan https://t.co/D7FQsLuW1V",Netral
1.75E+18,"Mulai dari petani sampai pedagang dirugikan dengan adanya peraturan ini sudah seharusnya kita menolak pasal tembakau di RPP UU Kesehatan  @Kemenperin @KemnakerRI @Jokowi @Kemenkes_RI
#TolakPasalTembakauRPPKesehatan https://t.co/HQPU3IVTXf",Netral
1.75E+18,"Bahaya banget gak sih klo buat aturan tapi merugikan negara  tolak aja deh pasal tembakau di RPP UU Kesehatan @Kemenperin @KemnakerRI @Jokowi @Kemenkes_RI
#TolakPasalTembakauRPPKesehatan https://t.co/mgKe6kBLKo",Negatif
1.75E+18,"@kazuakiouji Kalo membedakan jualbeli organ dengan transplantasi organ iya ok lah setuju. Tapi kalo surogasi diperhalus jadi jasa gestasi udah jelas2 ga sesuai uu kesehatan jo. Bw. Paling mungkin ya pake penyelundupan hukum, surogasi di luar negeri yg membolehkan, udah lahiran pindah ke sini.",Positif
1.75E+18,"Nah kan bisa buat rugi negara kok aturannya masih dipertahankan seharunya tolak pasal tembakau di RPP UU Kesehatan aja lah @Kemenperin @KemnakerRI @Jokowi @Kemenkes_RI
#TolakPasalTembakauRPPKesehatan https://t.co/g7E9CqJu9K",Netral
1.75E+18,"Pasal tembakau ini bahaya banget sih dampaknya bisa merugikan banyak sektor, Tolak pasal tembakau di RPP UU Kesehatan  @Kemenperin @KemnakerRI @Jokowi @Kemenkes_RI
#TolakPasalTembakauRPPKesehatan https://t.co/skloBL3Vs3",Negatif
1.75E+18,"Semoga dengan pendapat para pengamat pemerintah bisa lebih cepat merevisi aturan ini, tolak pasal tembakau di RPP UU Kesehatan  @Kemenperin @KemnakerRI @Jokowi @Kemenkes_RI
#TolakPasalTembakauRPPKesehatan https://t.co/JpRjxG3CfI",Netral
1.75E+18,"Pengamat aja setuju klo aturan ini buat rugi, tolak pasal tembakau di RPP UU Kesehatan  @Kemenperin @KemnakerRI @Jokowi @Kemenkes_RI
#TolakPasalTembakauRPPKesehatan https://t.co/q3mH2G0hG1",Netral
1.75E+18,"hrsnya pemerintah mikirin lg sih, tembakau sendiri kan penting bagi masyarakat adat, masa dg adanya UU Kesehatan ini jadi hilang, seenggaknya bisa cari dg solusi #TolakPasalTembakauRPPKesehatan
@mohmahfudmd @Jokowi @Kemenkes_RI  https://t.co/NO3lPnXPMf",Positif
1.75E+18,"Apakah pemerintah bakal tolak pasal tembakau di RPP UU Kesehatan ketika negara udah rugi banyak @Kemenperin @KemnakerRI @Jokowi @Kemenkes_RI
#TolakPasalTembakauRPPKesehatan https://t.co/7JUrzK4qhi",Netral
1.75E+18,"prof @mohmahfudmd pun bilang kalau tembakau tuh ga boleh dihilangkan hny krn satu regulasi, nah soal RPP UU Kesehatan itu pdhl udh merugikan negara bgt kalau disahkan #TolakPasalTembakauRPPKesehatan
 @Jokowi @Kemenkes_RI  https://t.co/9q7mV9me22",Netral
1.75E+18,"makanya aku nolak bgt sih RPP UU Kesehatan ini, tembakau udh sbg kehidupan masyarakat masa mau dihilangkan ya? pdhl kalau disahkan pun bisa merugikan negara juga #TolakPasalTembakauRPPKesehatan
@mohmahfudmd @Jokowi @Kemenkes_RI  https://t.co/RkPsICTnCL",Netral
1.75E+18,"Udah banyak menyuarakan untuk menolak pasal tembakau di RPP UU Kesehatan #TolakPasalTembakauRPPKesehatan
termasuk resiko2 merugi 52T ini juga, rakyat kecil gakbisa apa2, semoga segera ada solusinya dari @Kemenperin @KemnakerRI @Jokowi @Kemenkes_RI  https://t.co/5e0QB7hecp",Negatif
1.75E+18,"kangen banget omg sama kamuu wkwk ku liat2 kemaren udh kyk ngeborong ya banyak bgt,yaampun sampe ketinggalan juga?😭 jaga kesehatan jgn lupa ya ce titip salam untuk Viana hehew lovv uu @A_FionyJKT48 #FionyMail",Positif
1.75E+18,"sampe prof mahmud aja tuh ya bakal berjuang sosl RPP UU Kesehatan ini, tembakau kan penting bagi masyarakat adat, hrsnya bisa dipertimbangkan lg bagi pemerintah #TolakPasalTembakauRPPKesehatan
@mohmahfudmd @Jokowi @Kemenkes_RI  https://t.co/Y7jJcvCvo7",Positif
1.75E+18,"Yang menolak pasal tembakau di RPP UU Kesehatan #TolakPasalTembakauRPPKesehatan
tuh gak cuma satu dua kalangan, ada petani, industri kreatif, ini bahkan penerimaan negara berkurang juga segini banyaknya @Kemenperin @KemnakerRI @Jokowi @Kemenkes_RI  https://t.co/lxS6YfDO5S",Positif
1.75E+18,"Penasaran nih sama nasib orang2 yg menolak pasal tembakau di RPP UU Kesehatan #TolakPasalTembakauRPPKesehatan
Dan digantung nasibnya sama @Kemenperin @KemnakerRI @Jokowi @Kemenkes_RI dari tahun lalu hehe https://t.co/Mgrtla6Lc0",Negatif
1.75E+18,"Kalau dari pihak terkait gaada yang bisa mikirin solusi masyarakat yang menolak pasal tembakau di RPP UU Kesehatan, kan bisa tuh dibikin sayembara buat dipikirin sama2 #TolakPasalTembakauRPPKesehatan
@Kemenperin @KemnakerRI @Jokowi @Kemenkes_RI https://t.co/HNVLqMeGAx",Netral
1.75E+18,"betul pak  @mohmahfudmd gak perlu ada yang dihilangkan, gimana nih?  @jokowi @kemenkes_RI justru harusnya diakui. Kami  menolak pasal tembakau di RPP UU Kesehatan #TolakPasalTembakauRPPKesehatan https://t.co/LmvM0fbymc",Netral
1.75E+18,"Dari banyaknya orang pinter berprestasi dan kreatif di Indonesia, aku yakin harusnya bisa banyak yang mikirin solusi masyarakat yang menolak pasal tembakau di RPP UU Kesehatan
 #TolakPasalTembakauRPPKesehatan
@Kemenperin @KemnakerRI @Jokowi @Kemenkes_RI https://t.co/sNRJfBpgIS",Positif
1.75E+18,"Udah tahun 2024, Januari nya pun hampir habis, tapi persoalan menolak pasal tembakau di RPP UU Kesehatan
 #TolakPasalTembakauRPPKesehatan
Sampai hari ini belum ada titik terang? Gimana nih, mau buang sia2 52T? @Kemenperin @KemnakerRI @Jokowi @Kemenkes_RI https://t.co/8lKwp2xZN6",Negatif
1.75E+18,UU Cipta Kerja membuka peluang komersialisasi pendidikan &amp  kesehatan. Makin mahal aja biaya pendidikan &amp  kesehatan... 😥  PKSMenang KerjaGampang https://t.co/DSSOEhDMot,Netral
1.75E+18,"Menurutku, daripada persoalan menolak pasal tembakau di RPP UU Kesehatan
 #TolakPasalTembakauRPPKesehatan g kelar2. Kan di @Kemenperin @KemnakerRI @Jokowi @Kemenkes_RI banyak tuh orang pinter, cari deh solusi gmn biar 52T ni g sia2, mau diekspor/apa kek  https://t.co/sEKue1ZkzG",Positif
1.75E+18,"dampak untuk tenaga kerja bisa sangat terancam pendapatan nya akibatnya sektor ekonomi jadi tidak stabil, fix menolak pasal tembakau di RPP UU Kesehatan  @Kemenperin @KemnakerRI @Jokowi @Kemenkes_RI #TolakPasalTembakauRPPKesehatan  https://t.co/wp4EK9Qqpd",Positif
1.75E+18,karena di uu kesehatan secara implisit mengakui dan menghormati segala jenis identitas seksual dan gender,Positif
1.75E+18,@arsenatasya @guardiamoavant tambahan aja Pak Anies klo jadi eksekutif janji bakalan mau revisi UU ITE tp mbulet pas ditanya Omnibus Law kesehatan *cmiiw. Isu ini saya rasa sgt penting dan kapasitas PDIP sbgai partai besar sgt berpengaruh,Positif
1.75E+18,"@ruliemaulana @imanlagi @Reiza_Patters Kliatan nih ngga pernah nonton Desak Anies, jls2 itu srg ditanyakan dan jawabannya Anies sama, akan merevisi UU cipta kerja, UU kesehatan, UU KPK dan IKN",Netral
1.75E+18,@Dandhy_Laksono Juga UU Karantina Kesehatan yg diketok 2018 https://t.co/GH7m46aJsj,Netral
1.75E+18,"Ga butuh UU Ketahanan Keluarga! It's too private!  Yg dibutuhin itu UU penjamin pemerataan pendidikan, kesehatan, dan pembangunan infrastruktur......",Netral
1.75E+18,@ADORESHINYU thankk uu! kamuu jaga kesehatan juga yahh lagi pancaroba jg nih soalnya :(,Negatif
1.75E+18,Pemerintah melalui Kementerian Kesehatan (Kemenkes) tengah merancang draf atau Rancangan Peraturan Pemerintah turunan Undang-Undang (UU) Nomor 17 Tahu https://t.co/NtFyUo9mEc,Netral
1.75E+18,@PartaiSocmed @jokowi @SBYudhoyono mas @AgusYudhoyono masih konsisten menolak UU Kesehatan Omnibuslaw kah???!!! @yusuf_dumdum @puanmaharani_ri @__AnakKolong @mazzini_gsp @PBIDI @DrEvaChaniago,Positif
1.75E+18,"@TedInvestigasi @reinharthrm Pemeriksaan kesehatan adalah ratifikasi dari UU kesehatan, memang tidak masuk dalam UU perkawinan.  Dan dalam tulisan itu anda menyebut dalam Islam.  Dalam islam justru di sunnahkan mencari pasangan yg sehat dan subur.  Bagaimana bisa tau sehat dan subur? Ya diperiksa.",Positif
1.75E+18,"kabarr akuu baikkk, cuman hari hari aku aja yang kurang baikk. aku juga sukaa kok sama negri Jepang, mungkin suatu saat aku bisa ke sana untuk bersenang-senang. btw tetep jaga kesehatan kamuu yaa dell, makasii jugaa pap dijepang nyaa luvv uu &lt 3 #JawabDel @R_AdelJKT48",Positif
1.75E+18,"aspek prosedural formal sebagaimana dilakukan dalam pembentukan UU Kesehatan merupakan bentuk kebijakan tokenistik, yang  semata-mata ditujukan untuk menghadirkan partisipasi fisik, tanpa menghiraukan partisipasi gagasan. (3/3)  #MengawalKonstitusi #salaMKonstitusi #MKRI",Netral
1.75E+18,MK menggelar sidang lanjutan untuk Perkara Nomor 130/PUU-XXI/2023 ihwal uji formil UU Kesehatan pada Kamis (25/01/2024). Permohonan diajukan oleh Sekretariat Bersama (Sekber) Organisasi Profesi Kesehatan. (1/3) https://t.co/F9ZcXltTEX,Positif
1.75E+18,"@liputan6dotcom Manusia aja dulu dimanusiakan...kasih hak2 rakyat sesuai dgn UU...ksh pendidikan yg baik, kesehatan, buka lapangan kerja sluas2'a..perlakukan koruptor seperti binatang, rampas aset koruptor...ngomongin hewan tapi rakyat msh ada yg ngarep bansos..",Positif
1.75E+18,"@blezofcursd Okayy, jaga kesehatan kaa, nice to know uu-!!",Positif
1.75E+18,Seperti Omnibus Law dan UU Kesehatan. Sesuatu yang diburu-buru tanpa ada urgensi apa-apa itu wajib dicurigai,Netral
1.75E+18,"Tiba-tiba aja udh sah. Sama halnya dengan UU Kesehatan yg tiba2 disahkan. Krna rapatnya tertutup terus, jdi aku gatau apa aja yg dibahas didalam dan ga tersedia juga laporan hasil rapatnya.",Negatif
1.75E+18,"Ingat ya, selalu lindungi data pribadimu seperti data diri dan keluarga, data kesehatan, biometrik, dll. Pahami juga hak atas data pribadi yang terlindung oleh UU No.27 tahun 2022 tentang Perlindungan Data Pribadi.​  ​Yuk jadi pengguna media sosial yang lebih waspada dan cermat! https://t.co/Bnd11hMq8o",Positif
1.75E+18,"@dinoflyy_ hai kak rin! thank uu so much udah mau jadi mootsku yahh!! yuk kita bisa lebih akrab lagi, jbjb lebih buanyak lagi!! semoga diberi kebahagiaan, kesehatan selalu!semoga diperlancar segala urusannya, dan cepet² ketemu ichan sm aku di konser selanjutnya, xixi💗😙",Positif
1.75E+18,@ingrid_kansil UU ttg kesehatan jiwa dibutuhkn peran masy mmbantu odgj kmbali produktif.Problemnya tdk smua msy dpt mnyesuaikn diri interaksi dgn ex odgj krn minimnya pmahaman kwalifikasi kesembuhn odgj tsb.Empati masy utk mmbantu dpt terwujud jk tngkat ksembuhan odgj diberitahu pd level mana🙏,Negatif
1.75E+18,Eks-Dirut RS ini menyesatkan dlm memberi penjelasan bhw perbedaan pelayanan pasien BPJS &amp  mandiri diperbolehkan  Semua wajib diperlakukan sama: 1. UU No 44 2009 Ttg Rumah Sakit 2. Peraturan BPJS Kesehatan No.1 2014 Ttg  Penyelenggaraan Jaminan Kesehatan 3. Pasal 1367 KUHPerdata https://t.co/RHvRMI8b2o,Netral
1.75E+18,"@tirta_cipeng Entah bagaimana ada pandangan seperti itu dok. Padahal nyata kita punya oemimpin yang gabisa ngomong efeknya sekarang, tiba2 kebijakan seperti omnibuslaw, RUU kesehatan, uu minerba tanpa sosialisasi langsung teken jalan. Yg dirugikan siapa kalau bukan rakyat?",Positif
1.75E+18,@UGM_FESS Ini kan emang ada dalam UU kesehatan yg baru.,Positif
1.75E+18,@dr_koko28 Gimana dampak UU Omnibus Law Kesehatan nya Dok?,Netral
1.75E+18,"@kandasiapa @noire172 @undipmenfess Rumus,  Pengen pendidikan terjangkau&amp peluang kerja luas,  Vote 01.  setuju UU TPKS, Vote Nasdem/PKB, krn yg inisiasi bang Tobas (Nasdem)&amp bu Luluk (PKB).  tidak setuju revisi UU KPK, Omnibus Cipateker, Kesehatan, Vote PKS, krn yg menolak&amp teguh beroposisi ya PKS.",Netral
1.75E+18,"@dokterarif @aniesbaswedan @cakimiNOW kak, kebetulan saya sedang menyusun skripsi terkait uu kesehatan baru, kalo boleh tau ini dijelaskan di pasal berapa ya dlm uu no. 17 th 2023? terimakasih",Positif
1.75E+18,@UGM_FESS Setelah puluhan tahun Reformasi baru kali ini ada capres yg concern dgn kesehatan mental lwt misinya.  Ini luar biasa bagi saya yg memiliki 2 saudara kandung dan 1 ponakan yg sakit jiwa.  Agar ada uu yg mampu mencegah seorang warga menderita gangguan jiwa dgn tindakan yg tepat.,Positif
1.75E+18,selamatt malam sayangku cintakuu manisku cantikuu @SW_RaishaJKT48 @AW_CallieJKT48  mbok jamu baca berita cuma kamu yg aku cinta🥰 heheww semangatt terus ya shengkuu dan semua member jangan lupa jaga kesehatan selalu luvv uu #PajamaDriveJKT48,Positif
1.75E+18,"@S_FloraJKT48 Gapapaa kamu baru berkabar sekarang, yang penting kamu jaga kesehatan selalu ya!! luv uu 🫶🏻🤍",Positif
1.75E+18,"@cherryyuluvv Happiest birthday for uu!!! Semoga kamu kamu diberi kesehatan, umur yang panjang, rezeki yang lancar, dilimpahi banyakkk kebahagiaan, dilancarkan segala urusan, dan semoga kamu bisa lolos di PTN impian kamu yaa!! Aamiin. Tetep semangattt yaaa!! 🌻🌻",Positif
1.75E+18,"@worksfess Saya di bidang jasa, lokasi surabaya barat..   THP lumayan Beasiswa buat anak kita Pinjaman bunga rendah SK pegawai, tp karena UU uda ga ada lg 2 tahun ini BPJS Kesehatan &amp  5 program dr jamsostek diikutkan semua Dana Pensiun Cuti bs dadakan Bonus tahunan, THR",Netral
1.75E+18,"@Ojolsang3 @UGM_FESS Dan lagi, diatur dalam KODEKI dan juga UU Kesehatan, untuk tidak menyebarluaskan diagnosa pasien tanpa izin dari pasien/wali/orangtua yang bertanggung jawab atas pasien.",Positif
1.75E+18,"@welldonesirr @undipmenfess Pemerataan gimana nih maksudnya?  Misalnya tenaga kesehatan, secara realistis, ga bakal bisa dalam 5 tahun tercapai. Pendidikan? Ga mungkin juga.  Apanya nih yg merata? Kalau ga merata dalam 5 tahun, berarti ga dikerja kerjakan gitu? Padahal dah masuk UU.",Positif
1.75E+18,"@shinramyeont @UGM_FESS FYI saat Anies Baswedan jadi peserta konvensi capres Demokrat, salah satu proposalnya adalah mewujudkan jaminan kesehatan semesta lewat BPJS ini. Kebetulan presidennya Jokowi saat amanat UU BPJS ini dilaksanakan. Kalau saat itu presidennya Anies pun mungkin sistemnya sama.",Netral
1.75E+18,@dokterparu Dampak Kerugian dari UU Omnibus Kesehatan itu apa dok?,Netral
1.75E+18,"Dan jangan lupa UU Omnibus Kesehatan 17/2023 yang sampe sekarang masi minim bahas peraturan pelaksanaannya, hampiR di semua subbidang kesehatan.",Netral
1.75E+18,"@undipmenfess Emang ga bisa ngapa2in sih nder. Red flagnya udah lama, dr UU KPK, omnibus law, RUU Kesehatan dll. Toh tetep jalan2 aja, kita ga bisa ngapa2in, plg cuma demo abis itu yaudah lupa lagi.  Makanya ngelunjak sampe kayak gini",Positif
1.75E+18,"@kuekukuslegit @RitelpncariCuan @Zillionel @UGM_FESS Iya, dalam soal kesehatan ini bener2 tergantung banget sama Pemda. Jadi kalo ada Pemda yg peduli soal kesehatan, pure bukan krena ousat tapi pemimpin emg paham prioritas.  Apalagi di UU Kesehatan baru, Mandatory Spending dihapus, bahkan masyarakat yg hari ini menikmati PBI...",Positif
1.75E+18,"@DokterTifa Sebenernya kalo mau nyalahin, ya nyalahin KPU atau UU yg ngasih syarat kesehatan untuk calon presiden terlalu longgar. Semua capres di tes sama rata menurut UU/peraturan yang ada apakah dia mampu dan sehat untuk memimpin negara sampai 5 tahun kedepan. Flawed rules, but it is what…",Positif
